year,province ,crop ,precipitation(mm),harvested area (acres),yield (tonnes/acres),production (tonnes),total farm gate value ($),,
2003,BC,oat,1106.1,65000,1.26,81000,,,
2004,BC,oat,1210.6,40000,1.17,46300,,,
2005,BC,oat,1215.2,45000,1.26,56600,,,
2006,BC,oat,1224.2,35000,0.77,27600,,,
2007,BC,oat,1322.4,55000,1.09,60100,,,
2008,BC,oat,1025.8,40000,0.85,33900,,,
2009,BC,oat,1090.6,30000,1.13,33900,,,
2010,BC,oat,1207,45000,0.81,35500,,,
2011,BC,oat,1068.5,70000,1.26,86400,,,
2012,BC,oat,1211.3,65000,1.01,66300,,,
2013,BC,oat,944,70000,1.22,85900,,,
2014,BC,oat,1276.3,50000,1.05,51800,,,
2015,BC,oat,1142.5,50000,1.17,58000,,,
2016,BC,oat,1356.8,37000,1.54,56300,,,
2017,BC,oat,1239.3,36400,1.38,50100,,,
2018,BC,oat,1343.4,55600,1.31,72900,,,
2019,BC,oat,965.7,40600,1.41,57100,,,
2020,BC,oat,1140.4,49200,1.17,57600,,,
2021,BC,oat,1160.3,73400,1.18,86536,,,
2022,BC,oat,1046.3,71700,0.93,66709,,,
1995,MB,oat,,650000,0.97,624600,,,
1996,MB,oat,,960000,1.09,1056400,,,
1997,MB,oat,,700000,1.05,735600,,,
1998,MB,oat,,900000,1.13,1030200,,,
1999,MB,oat,,730000,1.17,854400,,,
2000,MB,oat,,860000,1.17,1016300,,,
2001,MB,oat,,800000,0.93,748000,,,
2002,MB,oat,,1000000,1.01,1017900,,,
2003,MB,oat,,850000,1.22,1033300,,,
2004,MB,oat,,670000,1.34,889900,,,
2005,MB,oat,,570000,0.77,440700,,,
2006,MB,oat,,840000,1.13,967400,,,
2007,MB,oat,,985000,1.22,1204500,,,
2008,MB,oat,,800000,1.38,1116600,,,
2009,MB,oat,,565000,1.38,771100,,,
2010,MB,oat,,520000,1.17,616900,,,
2011,MB,oat,,425000,1.01,431800,,,
2012,MB,oat,,498000,1.22,601500,,,
2013,MB,oat,,430000,1.42,613800,,,
2014,MB,oat,,375000,1.42,524400,,,
2015,MB,oat,,410000,1.46,595300,,,
2016,MB,oat,,380000,1.50,569100,,,
2017,MB,oat,,480000,1.70,820500,,,
2018,MB,oat,,445600,1.59,709000,,,
2019,MB,oat,,485000,1.64,793800,,,
2020,MB,oat,,649900,1.72,1117000,,,
2021,MB,oat,,669000,1.15,766600,,,
2022,MB,oat,,649600,1.80,1168612,,,
1995,NB,oat,,25000,0.85,20800,,,
1996,NB,oat,,22000,1.17,25400,,,
1997,NB,oat,,20000,1.01,20400,,,
1998,NB,oat,,20000,1.13,22500,,,
1999,NB,oat,,19000,0.97,18800,,,
2000,NB,oat,,20000,1.17,23100,,,
2001,NB,oat,,20500,0.97,19600,,,
2002,NB,oat,,21500,1.13,24200,,,
2003,NB,oat,,21000,1.01,21100,,,
2004,NB,oat,,20000,1.01,20400,,,
2005,NB,oat,,22500,1.09,25000,,,
2006,NB,oat,,24200,0.97,23500,,,
2007,NB,oat,,21000,1.13,24000,,,
2008,NB,oat,,24500,0.93,22700,,,
2009,NB,oat,,19000,0.93,17900,,,
2010,NB,oat,,23000,1.09,25200,,,
2011,NB,oat,,21500,0.73,15900,,,
2012,NB,oat,,20500,1.05,21200,,,
2013,NB,oat,,19000,1.05,19900,,,
2014,NB,oat,,26000,1.05,27000,,,
2015,NB,oat,,26500,1.22,32200,,,
2016,NB,oat,,25000,1.13,28600,,,
2017,NB,oat,,24500,1.22,29300,,,
2018,NB,oat,,20600,0.95,19700,,,
2019,NB,oat,,17300,1.16,20000,,,
2020,NB,oat,,12900,1.07,13700,,,
2021,NB,oat,,27000,1.39,37380,,,
2022,NB,oat,,28400,1.38,39319,,,
1995,NL,oat,,,,,,,
1996,NL,oat,,,,,,,
1997,NL,oat,,,,,,,
1998,NL,oat,,,,,,,
1999,NL,oat,,,,,,,
2000,NL,oat,,,,,,,
2001,NL,oat,,,,,,,
2002,NL,oat,,,,,,,
2003,NL,oat,,,,,,,
2004,NL,oat,,,,,,,
2005,NL,oat,,,,,,,
2006,NL,oat,,,,,,,
2007,NL,oat,,,,,,,
2008,NL,oat,,,,,,,
2009,NL,oat,,,,,,,
2010,NL,oat,,,,,,,
2011,NL,oat,,,,,,,
2012,NL,oat,,,,,,,
2013,NL,oat,,,,,,,
2014,NL,oat,,,,,,,
2015,NL,oat,,,,,,,
2016,NL,oat,,,,,,,
2017,NL,oat,,,,,,,
2018,NL,oat,,,,,,,
2019,NL,oat,,,,,,,
2020,NL,oat,,,,,,,
2021,NL,oat,,,,,,,
2022,NL,oat,,,,,,,
1995,NS,oat,,7600,1.01,7700,,,
1996,NS,oat,,6900,1.01,7100,,,
1997,NS,oat,,9400,0.81,7500,,,
1998,NS,oat,,9600,0.85,8300,,,
1999,NS,oat,,6200,0.89,5500,,,
2000,NS,oat,,4900,1.01,5000,,,
2001,NS,oat,,6500,0.89,5800,,,
2002,NS,oat,,6500,1.13,7400,,,
2003,NS,oat,,6000,0.97,5800,,,
2004,NS,oat,,5500,1.01,5600,,,
2005,NS,oat,,4500,1.13,5100,,,
2006,NS,oat,,5300,0.85,4400,,,
2007,NS,oat,,5000,0.93,4500,,,
2008,NS,oat,,5500,0.93,5100,,,
2009,NS,oat,,4500,1.05,4600,,,
2010,NS,oat,,4500,0.93,4200,,,
2011,NS,oat,,4000,1.05,4100,,,
2012,NS,oat,,4500,0.97,4300,,,
2013,NS,oat,,3000,0.93,2700,,,
2014,NS,oat,,2700,1.01,2700,,,
2015,NS,oat,,2000,1.05,2100,,,
2016,NS,oat,,2900,1.13,3300,,,
2017,NS,oat,,4000,0.93,3700,,,
2018,NS,oat,,2300,1.12,2600,,,
2019,NS,oat,,1900,0.93,1800,,,
2020,NS,oat,,3400,0.92,3100,,,
2021,NS,oat,,3900,1.20,4729,,,
2022,NS,oat,,1700,0.99,1680,,,
1995,ON,oat,,100000,0.89,91000,,,
1996,ON,oat,,95000,0.81,78700,,,
1997,ON,oat,,105000,0.97,100200,,,
1998,ON,oat,,100000,0.93,94100,,,
1999,ON,oat,,95000,1.01,95600,,,
2000,ON,oat,,85000,0.93,80200,,,
2001,ON,oat,,90000,1.05,95600,,,
2002,ON,oat,,100000,1.05,103300,,,
2003,ON,oat,,110000,1.13,123400,,,
2004,ON,oat,,100000,1.09,108000,,,
2005,ON,oat,,115000,0.89,104100,,,
2006,ON,oat,,110000,1.01,113400,,,
2007,ON,oat,,90000,0.97,87900,,,
2008,ON,oat,,65000,1.05,67900,,,
2009,ON,oat,,75000,1.05,79800,,,
2010,ON,oat,,70000,1.09,75600,,,
2011,ON,oat,,60000,1.09,64400,,,
2012,ON,oat,,55000,1.09,60900,,,
2013,ON,oat,,68000,1.09,75600,,,
2014,ON,oat,,63000,1.13,70900,,,
2015,ON,oat,,115000,1.34,154200,,,
2016,ON,oat,,65000,1.22,80200,,,
2017,ON,oat,,55000,1.30,71100,,,
2018,ON,oat,,57300,1.15,65600,,,
2019,ON,oat,,82000,1.28,104700,,,
2020,ON,oat,,92700,1.12,103700,,,
2021,ON,oat,,58900,1.38,81053,,,
2022,ON,oat,,77900,1.44,111869,,,
1995,PE,oat,,18000,0.89,15900,,,
1996,PE,oat,,13700,1.17,15900,,,
1997,PE,oat,,13000,1.09,14400,,,
1998,PE,oat,,10500,0.97,9900,,,
1999,PE,oat,,12500,1.13,14100,,,
2000,PE,oat,,12000,1.13,13900,,,
2001,PE,oat,,13000,0.69,9200,,,
2002,PE,oat,,10000,1.38,13600,,,
2003,PE,oat,,10000,1.09,10800,,,
2004,PE,oat,,10000,1.09,10800,,,
2005,PE,oat,,9000,1.09,9700,,,
2006,PE,oat,,12500,0.97,12300,,,
2007,PE,oat,,11500,1.05,12100,,,
2008,PE,oat,,12000,1.09,13000,,,
2009,PE,oat,,12000,0.89,10700,,,
2010,PE,oat,,11500,1.05,12200,,,
2011,PE,oat,,10500,1.05,11000,,,
2012,PE,oat,,10000,1.09,10900,,,
2013,PE,oat,,9500,1.13,10500,,,
2014,PE,oat,,8000,1.01,8000,,,
2015,PE,oat,,12000,1.09,13100,,,
2016,PE,oat,,10000,1.17,11400,,,
2017,PE,oat,,11000,1.01,11100,,,
2018,PE,oat,,10000,0.99,9900,,,
2019,PE,oat,,10000,1.01,10100,,,
2020,PE,oat,,7700,1.15,8800,,,
2021,PE,oat,,6200,1.06,6587,,,
2022,PE,oat,,5431,1.14,6179,,,
1995,QC,oat,,192700,0.89,175000,,,
1996,QC,oat,,177900,1.05,185000,,,
1997,QC,oat,,180400,1.09,195000,,,
1998,QC,oat,,177900,1.09,197000,,,
1999,QC,oat,,177900,1.05,190000,,,
2000,QC,oat,,173000,1.05,180000,,,
2001,QC,oat,,190300,1.13,218000,,,
2002,QC,oat,,254500,1.05,270000,,,
2003,QC,oat,,264400,1.05,280000,,,
2004,QC,oat,,254500,1.09,278000,,,
2005,QC,oat,,275500,0.97,265000,,,
2006,QC,oat,,275500,0.97,270000,,,
2007,QC,oat,,269300,1.05,280000,,,
2008,QC,oat,,232300,0.89,205000,,,
2009,QC,oat,,242200,0.89,220000,,,
2010,QC,oat,,259500,1.01,263000,,,
2011,QC,oat,,237200,0.93,223000,,,
2012,QC,oat,,223100,0.97,220000,,,
2013,QC,oat,,194400,0.97,189000,,,
2014,QC,oat,,189700,1.01,191500,,,
2015,QC,oat,,239300,1.05,249000,,,
2016,QC,oat,,195000,1.05,204400,,,
2017,QC,oat,,143300,1.05,149000,,,
2018,QC,oat,,173900,0.96,167100,,,
2019,QC,oat,,175600,1.08,189600,,,
2020,QC,oat,,196500,0.88,173200,,,
2021,QC,oat,,159800,1.24,197158,,,
2022,QC,oat,,189100,1.11,210280,,,
1995,SK,oat,375.5,1200000,0.93,1110400,,,
1996,SK,oat,446.4,1800000,1.05,1881500,,,
1997,SK,oat,312.9,1650000,0.85,1403400,,,
1998,SK,oat,280,1850000,0.93,1758100,,,
1999,SK,oat,401.4,1550000,0.97,1534500,,,
2000,SK,oat,344.6,1415000,0.97,1377200,,,
2001,SK,oat,159.7,1300000,0.73,960800,,,
2002,SK,oat,299.3,1500000,0.69,1048700,,,
2003,SK,oat,233.8,1350000,0.73,994700,,,
2004,SK,oat,402.6,1250000,1.01,1280000,,,
2005,SK,oat,523,1425000,1.09,1546800,,,
2006,SK,oat,488.8,1790000,0.97,1727300,,,
2007,SK,oat,366,2350000,0.97,2317900,,,
2008,SK,oat,327.1,1900000,1.17,2267100,,,
2009,SK,oat,298.5,1180000,1.26,1465100,,,
2010,SK,oat,642.5,740000,1.05,771100,,,
2011,SK,oat,285.4,1265000,1.26,1582300,,,
2012,SK,oat,510.2,1175000,1.13,1326300,,,
2013,SK,oat,279.6,1585000,1.46,2328700,,,
2014,SK,oat,364.9,1150000,1.34,1557600,,,
2015,SK,oat,292.4,1375000,1.42,1927800,,,
2016,SK,oat,345.1,1140000,1.46,1653300,,,
2017,SK,oat,234.3,1420000,1.42,1989000,,,
2018,SK,oat,207.7,1205700,1.40,1689100,,,
2019,SK,oat,266.4,1493100,1.48,2215400,,,
2020,SK,oat,297.4,1630000,1.41,2296400,,,
2021,SK,oat,180.7,1383000,0.83,1152527,,,
2022,SK,oat,208.7,1688000,1.52,2567136,,,
