year,province,crop,precipitation(mm),harvested area (acres),yield (tonnes/acres),production (tonnes),farm gate value ($)
2022,PE,barley,1262.9,58494,1.52,88840,3123921
1995,QC,barley,1264.6,317500,1.1,350000,7124930
1996,QC,barley,1313.1,303900,1.17,355000,6599740
1997,QC,barley,1095.9,308900,1.34,415000,8563859
1998,QC,barley,1136.5,313800,1.35,425000,7861591
1999,QC,barley,1147.5,311400,1.33,415000,8756739
2000,QC,barley,1044.9,311400,1.3,405000,7905745
2001,QC,barley,807.2,380500,1.37,520000,10972300
2002,QC,barley,909.8,395400,1.25,495000,11042945
2003,QC,barley,1252.4,338500,1.21,410000,9908905
2004,QC,barley,1153.1,279200,1.32,368000,8748993
2005,QC,barley,1295.9,270600,1.26,340000,8814464
2006,QC,barley,1280,254500,1.18,301500,6922337
2007,QC,barley,1294,233500,1.32,308000,7615542
2008,QC,barley,1461.4,240900,1.07,258000,6515615
2009,QC,barley,1131,233500,1.18,276000,7116069
2010,QC,barley,1015.7,219900,1.23,270000,7104077
2011,QC,barley,1320.2,175400,1.12,196000,5260627
2012,QC,barley,1115.7,177400,1.32,234000,6404222
2013,QC,barley,1234.3,175000,1.26,221000,6165239
2014,QC,barley,1267.1,132200,1.24,163500,4647576
2015,QC,barley,1253.2,123900,1.36,168000,4864286
2016,QC,barley,1324.3,127200,1.38,175000,5159458
2017,QC,barley,1231.8,127300,1.34,171000,5131907
2018,QC,barley,1227.4,133300,1.18,157000,4794732
2019,QC,barley,1278.3,119400,1.31,156600,4963536
2020,QC,barley,1338.7,123300,1.02,125900,4136013
2021,QC,barley,942.6,109300,1.45,158950,5405494
2022,QC,barley,1305.4,77500,1.36,105335,3926319
1995,SK,barley,375.5,4100000,1.06,4354500,88644311
1996,SK,barley,446.4,4400000,1.22,5356000,99572411
1997,SK,barley,312.9,4350000,1.02,4430700,91431065
1998,SK,barley,280,3850000,1.12,4310900,79742434
1999,SK,barley,401.4,4050000,1.22,4942300,104285378
2000,SK,barley,344.6,4750000,1.12,5301600,103489124
2001,SK,barley,159.7,4250000,0.86,3655600,77135267
2002,SK,barley,299.3,3500000,0.72,2525600,56343558
2003,SK,barley,233.8,4650000,0.94,4354500,105239822
2004,SK,barley,402.6,3950000,1.19,4681100,111290520
2005,SK,barley,523,4050000,1.23,4968500,128807831
2006,SK,barley,488.8,3200000,1.06,3396500,77982478
2007,SK,barley,366,4000000,0.96,3853700,95285759
2008,SK,barley,327.1,3600000,1.28,4594000,116018357
2009,SK,barley,298.5,3050000,1.34,4080200,105199222
2010,SK,barley,642.5,1855000,1.04,1937700,50983592
2011,SK,barley,285.4,2025000,1.2,2438500,65449177
2012,SK,barley,510.2,2460000,0.96,2351400,64354220
2013,SK,barley,279.6,2370000,1.44,3411700,95176218
2014,SK,barley,364.9,1860000,1.17,2172900,61765864
2015,SK,barley,292.4,2165000,1.32,2863100,82898428
2016,SK,barley,345.1,2220000,1.52,3374700,99494990
2017,SK,barley,234.3,2170000,1.44,3135200,94090972
2018,SK,barley,207.7,2520500,1.36,3439200,105032107
2019,SK,barley,266.4,2950500,1.51,4449200,141020202
2020,SK,barley,297.4,2933800,1.49,4385100,144057424
2021,SK,barley,180.7,3299500,0.77,2547375,86629883
2022,SK,barley,208.7,2574200,1.38,3550934,124863092
1995,AB,oat,350.1,750000,1.01,771100,16509449
1996,AB,oat,482.1,1050000,1.01,1079500,23989950
1997,AB,oat,491.3,1000000,0.97,979300,22559305
1998,AB,oat,489.1,800000,0.97,771100,18390043
1999,AB,oat,423.8,800000,1.09,863600,21298147
2000,AB,oat,396.5,600000,1.09,657000,16737075
2001,AB,oat,352.1,600000,0.97,592200,15567723
2002,AB,oat,235.2,450000,0.81,370100,10030042
2003,AB,oat,473.4,820000,1.01,826600,23073585
2004,AB,oat,525.5,700000,1.17,828200,23791532
2005,AB,oat,287.2,675000,1.22,829700,24509125
2006,AB,oat,442.5,705000,1.01,706300,21438107
2007,AB,oat,272,620000,1.01,627400,19553323
2008,AB,oat,292.7,500000,1.09,541300,17310011
2009,AB,oat,243.5,300000,1.01,308400,10112910
2010,AB,oat,383,530000,1.22,647700,21765626
2011,AB,oat,391.4,585000,1.26,738700,25424160
2012,AB,oat,369.5,432000,1.22,518200,18256385
2013,AB,oat,483.5,410000,1.46,601500,21680065
2014,AB,oat,360,455000,1.17,542900,20009276
2015,AB,oat,289.3,360000,1.09,393300,14815308
2016,AB,oat,489.5,430000,1.46,624600,24035969
2017,AB,oat,376.3,425000,1.42,609200,23938592
2018,AB,oat,368.6,512000,1.37,700100,28079665
2019,AB,oat,463,578300,1.44,834800,34160872
2020,AB,oat,498.7,605500,1.33,802000,33470647
2021,AB,oat,270.6,525700,0.91,475538,20232679
2022,AB,oat,397,752600,1.4,1054681,45730833
1995,BC,oat,1272.8,50000,1.13,56300,1205397
1996,BC,oat,1462.8,35000,0.89,31600,702253
1997,BC,oat,1521.8,30000,1.13,33500,771711
1998,BC,oat,1160.5,65000,1.01,66300,1581196
1999,BC,oat,1394.4,65000,1.01,64800,1598101
2000,BC,oat,1010.8,55000,0.93,50600,1289035
2001,BC,oat,1178.5,40000,1.05,41500,1090950
2002,BC,oat,857.6,65000,0.85,55500,1504100
2003,BC,oat,1106.1,65000,1.26,81000,2261022
2004,BC,oat,1210.6,40000,1.17,46300,1330051
2005,BC,oat,1215.2,45000,1.26,56600,1671949
2006,BC,oat,1224.2,35000,0.77,27600,837734
2007,BC,oat,1322.4,55000,1.09,60100,1873055
2008,BC,oat,1025.8,40000,0.85,33900,1084074
2009,BC,oat,1090.6,30000,1.13,33900,1111633
2010,BC,oat,1207,45000,0.81,35500,1192959
2011,BC,oat,1068.5,70000,1.26,86400,2973666
2012,BC,oat,1211.3,65000,1.01,66300,2335775
2013,BC,oat,944,70000,1.22,85900,3096122
2014,BC,oat,1276.3,50000,1.05,51800,1909155
2015,BC,oat,1142.5,50000,1.17,58000,2184815
2016,BC,oat,1356.8,37000,1.54,56300,2166547
2017,BC,oat,1239.3,36400,1.38,50100,1968686
2018,BC,oat,1343.4,55600,1.31,72900,2923879
2019,BC,oat,965.7,40600,1.41,57100,2336591
2020,BC,oat,1140.4,49200,1.17,57600,2403877
2021,BC,oat,1160.3,73400,1.18,86536,3681841
2022,BC,oat,1046.3,71700,0.93,66709,2892494
1995,MB,oat,444.7,650000,0.97,624600,13372846
1996,MB,oat,685.5,960000,1.09,1056400,23476594
1997,MB,oat,500.1,700000,1.05,735600,16945395
1998,MB,oat,479.9,900000,1.13,1030200,24569345
1999,MB,oat,497.7,730000,1.17,854400,21071257
2000,MB,oat,673.1,860000,1.17,1016300,25890243
2001,MB,oat,528.9,800000,0.93,748000,19663386
2002,MB,oat,406.6,1000000,1.01,1017900,27586004
2003,MB,oat,391,850000,1.22,1033300,28843377
2004,MB,oat,683.9,670000,1.34,889900,25563975
2005,MB,oat,584,570000,0.77,440700,13018165
2006,MB,oat,266.9,840000,1.13,967400,29363195
2007,MB,oat,452.6,985000,1.22,1204500,37539015
2008,MB,oat,535.9,800000,1.38,1116600,35707293
2009,MB,oat,456.2,565000,1.38,771100,25285555
2010,MB,oat,749.8,520000,1.17,616900,20730608
2011,MB,oat,541,425000,1.01,431800,14861449
2012,MB,oat,411.4,498000,1.22,601500,21191076
2013,MB,oat,376.7,430000,1.42,613800,22123398
2014,MB,oat,451.6,375000,1.42,524400,19327434
2015,MB,oat,475.1,410000,1.46,595300,22424493
2016,MB,oat,551.8,380000,1.5,569100,21900208
2017,MB,oat,327.5,480000,1.7,820500,32241653
2018,MB,oat,354.6,445600,1.59,709000,28436627
2019,MB,oat,457.1,485000,1.64,793800,32483110
2020,MB,oat,272.7,649900,1.72,1117000,46616849
2021,MB,oat,384.2,669000,1.15,766600,32616471
2022,MB,oat,766.4,649600,1.8,1168612,50670866
1995,NB,oat,1117.2,25000,0.85,20800,445333
1996,NB,oat,1035.8,22000,1.17,25400,564469
1997,NB,oat,844.8,20000,1.01,20400,469938
1998,NB,oat,1036.9,20000,1.13,22500,536605
1999,NB,oat,1103,19000,0.97,18800,463647
2000,NB,oat,1122,20000,1.17,23100,588473
2001,NB,oat,690.3,20500,0.97,19600,515244
2002,NB,oat,1165.1,21500,1.13,24200,655842
2003,NB,oat,1051.2,21000,1.01,21100,588982
2004,NB,oat,752,20000,1.01,20400,586027
2005,NB,oat,1190.1,22500,1.09,25000,738494
2006,NB,oat,1029.8,24200,0.97,23500,713288
2007,NB,oat,907.4,21000,1.13,24000,747975
2008,NB,oat,1159.9,24500,0.93,22700,725914
2009,NB,oat,1167.8,19000,0.93,17900,586969
2010,NB,oat,1154.5,23000,1.09,25200,846833
2011,NB,oat,1072.7,21500,0.73,15900,547237
2012,NB,oat,979.1,20500,1.05,21200,746884
2013,NB,oat,1068.7,19000,1.05,19900,717262
2014,NB,oat,1244.7,26000,1.05,27000,995120
2015,NB,oat,920.8,26500,1.22,32200,1212949
2016,NB,oat,876.4,25000,1.13,28600,1100590
2017,NB,oat,876.3,24500,1.22,29300,1151347
2018,NB,oat,1149.8,20600,0.95,19700,790129
2019,NB,oat,1120.1,17300,1.16,20000,818421
2020,NB,oat,798.2,12900,1.07,13700,571755
2021,NB,oat,907.6,27000,1.39,37380,1590404
2022,NB,oat,1188.5,28400,1.38,39319,1704867
1995,NL,oat,,,,,
1996,NL,oat,,,,,
1997,NL,oat,,,,,
1998,NL,oat,,,,,
1999,NL,oat,,,,,
2000,NL,oat,,,,,
2001,NL,oat,,,,,
2002,NL,oat,,,,,
2003,NL,oat,,,,,
2004,NL,oat,,,,,
2005,NL,oat,,,,,
2006,NL,oat,,,,,
2007,NL,oat,,,,,
2008,NL,oat,,,,,
2009,NL,oat,,,,,
2010,NL,oat,,,,,
2011,NL,oat,,,,,
2012,NL,oat,,,,,
2013,NL,oat,,,,,
2014,NL,oat,,,,,
2015,NL,oat,,,,,
2016,NL,oat,,,,,
2017,NL,oat,,,,,
2018,NL,oat,,,,,
2019,NL,oat,,,,,
2020,NL,oat,,,,,
2021,NL,oat,,,,,
2022,NL,oat,,,,,
1995,NS,oat,1479.1,7600,1.01,7700,164859
1996,NS,oat,1718.6,6900,1.03,7100,157785
1997,NS,oat,1120.8,9400,0.81,7500,172771
1998,NS,oat,1465,9600,0.85,8300,197948
1999,NS,oat,1342.2,6200,0.89,5500,135641
2000,NS,oat,1290.5,4900,1.01,5000,127375
2001,NS,oat,965.1,6500,0.89,5800,152470
2002,NS,oat,1614.9,6500,1.13,7400,200547
2003,NS,oat,1356.4,6000,0.97,5800,161900
2004,NS,oat,1285.5,5500,1.01,5600,160870
2005,NS,oat,1365.2,4500,1.13,5100,150653
2006,NS,oat,1245,5300,0.85,4400,133552
2007,NS,oat,1322.1,5000,0.93,4500,140245
2008,NS,oat,1448.6,5500,0.93,5100,163091
2009,NS,oat,1514.5,4500,1.05,4600,150841
2010,NS,oat,1213.9,4500,0.93,4200,141139
2011,NS,oat,1688.9,4000,1.05,4100,141111
2012,NS,oat,1390.3,4500,0.97,4300,151491
2013,NS,oat,1501.5,3000,0.93,2700,97317
2014,NS,oat,1591.9,2700,1.01,2700,99512
2015,NS,oat,1540.8,2000,1.05,2100,79105
2016,NS,oat,1219.5,2900,1.13,3300,126991
2017,NS,oat,1156,4000,0.93,3700,145392
2018,NS,oat,1370.6,2300,1.12,2600,104281
2019,NS,oat,1459.6,1900,0.93,1800,73658
2020,NS,oat,1147.8,3400,0.92,3100,129375
2021,NS,oat,1288,3900,1.2,4729,201204
2022,NS,oat,1444.4,1700,0.99,1680,72845
1995,ON,oat,928.1,100000,0.89,91000,1948333
1996,ON,oat,699.8,95000,0.81,78700,1748966
1997,ON,oat,628.6,105000,0.97,100200,2308223
1998,ON,oat,682.1,100000,0.93,94100,2244201
1999,ON,oat,661.8,95000,1.01,95600,2357692
2000,ON,oat,755.7,85000,0.93,80200,2043095
2001,ON,oat,690.4,90000,1.05,95600,2513128
2002,ON,oat,661.9,100000,1.05,103300,2799523
2003,ON,oat,895.6,110000,1.13,123400,3444569
2004,ON,oat,755,100000,1.09,108000,3102494
2005,ON,oat,766.7,115000,0.89,104100,3075087
2006,ON,oat,865.7,110000,1.01,113400,3441995
2007,ON,oat,592.7,90000,0.97,87900,2739460
2008,ON,oat,1049.6,65000,1.05,67900,2171346
2009,ON,oat,904,75000,1.05,79800,2616765
2010,ON,oat,787.2,70000,1.09,75600,2540499
2011,ON,oat,936.8,60000,1.09,64400,2216483
2012,ON,oat,731.6,55000,1.09,60900,2145530
2013,ON,oat,944.9,68000,1.09,75600,2724876
2014,ON,oat,733.8,63000,1.13,70900,2613110
2015,ON,oat,675.3,115000,1.34,154200,5808595
2016,ON,oat,630.6,65000,1.22,80200,3086271
2017,ON,oat,846,55000,1.3,71100,2793884
2018,ON,oat,885,57300,1.15,65600,2631090
2019,ON,oat,950.4,82000,1.28,104700,4284431
2020,ON,oat,760.8,92700,1.12,103700,4327813
2021,ON,oat,823.2,58900,1.38,81053,3448556
2022,ON,oat,672.8,77900,1.44,111869,4850625
1995,PE,oat,937.2,18000,0.89,15900,340423
1996,PE,oat,1209.1,13700,1.17,15900,353349
1997,PE,oat,847.6,13000,1.09,14400,331721
1998,PE,oat,1140,10500,0.97,9900,236106
1999,PE,oat,901.3,12500,1.13,14100,347735
2000,PE,oat,849.5,12000,1.13,13900,354103
2001,PE,oat,786.9,13000,0.69,9200,241849
2002,PE,oat,1297.4,10000,1.38,13600,368572
2003,PE,oat,1024.2,10000,1.09,10800,301470
2004,PE,oat,986.8,10000,1.09,10800,310249
2005,PE,oat,1093.9,9000,1.09,9700,286536
2006,PE,oat,1119.3,12500,0.97,12300,373338
2007,PE,oat,1101.8,11500,1.05,12100,377104
2008,PE,oat,1494,12000,1.09,13000,415722
2009,PE,oat,1427.6,12000,0.89,10700,350869
2010,PE,oat,1354,11500,1.05,12200,409975
2011,PE,oat,1370.1,10500,1.05,11000,378592
2012,PE,oat,1032.3,10000,1.09,10900,384011
2013,PE,oat,1013.2,9500,1.13,10500,378455
2014,PE,oat,1427.7,8000,1.01,8000,294850
2015,PE,oat,1387.3,12000,1.09,13100,493467
2016,PE,oat,1073.4,10000,1.17,11400,438697
2017,PE,oat,1060.3,11000,1.01,11100,436176
2018,PE,oat,1202.3,10000,0.99,9900,397070
2019,PE,oat,1198.1,10000,1.01,10100,413302
2020,PE,oat,728.3,7700,1.15,8800,367259
2021,PE,oat,1261.8,6200,1.06,6587,280257
2022,PE,oat,1262.9,5431,1.14,6179,267921
1995,QC,oat,1264.6,192700,0.89,175000,3746795
1996,QC,oat,1313.1,177900,1.05,185000,4111293
1997,QC,oat,1095.9,180400,1.09,195000,4492050
1998,QC,oat,1136.5,177900,1.09,197000,4698273
1999,QC,oat,1147.5,177900,1.05,190000,4685790
2000,QC,oat,1044.9,173000,1.05,180000,4585500
2001,QC,oat,807.2,190300,1.13,218000,5730773
2002,QC,oat,909.8,254500,1.05,270000,7317242
2003,QC,oat,1252.4,264400,1.05,280000,7815877
2004,QC,oat,1153.1,254500,1.09,278000,7986049
2005,QC,oat,1295.9,275500,0.97,265000,7828032
2006,QC,oat,1280,275500,0.97,270000,8195227
2007,QC,oat,1294,269300,1.05,280000,8726379
2008,QC,oat,1461.4,232300,0.89,205000,6555611
2009,QC,oat,1131,242200,0.89,220000,7214138
2010,QC,oat,1015.7,259500,1.01,263000,8837980
2011,QC,oat,1320.2,237200,0.93,223000,7675088
2012,QC,oat,1115.7,223100,0.97,220000,7750685
2013,QC,oat,1234.3,194400,0.97,189000,6812190
2014,QC,oat,1267.1,189700,1.01,191500,7057978
2015,QC,oat,1253.2,239300,1.05,249000,9379638
2016,QC,oat,1324.3,195000,1.05,204400,7865757
2017,QC,oat,1231.8,143300,1.05,149000,5854974
2018,QC,oat,1227.4,173900,0.96,167100,6702060
2019,QC,oat,1278.3,175600,1.08,189600,7758626
2020,QC,oat,1338.7,196500,0.88,173200,7228324
2021,QC,oat,942.6,159800,1.24,197158,8388466
2022,QC,oat,1305.4,189100,1.11,210280,9117714
1995,SK,oat,375.5,1200000,0.93,1110400,23773949
1996,SK,oat,446.4,1800000,1.05,1881500,41812960
1997,SK,oat,312.9,1650000,0.85,1403400,32328938
1998,SK,oat,280,1850000,0.93,1758100,41929107
1999,SK,oat,401.4,1550000,0.97,1534500,37843918
2000,SK,oat,344.6,1415000,0.97,1377200,35084170
2001,SK,oat,159.7,1300000,0.73,960800,25257461
2002,SK,oat,299.3,1500000,0.69,1048700,28420711
2003,SK,oat,233.8,1350000,0.73,994700,27765903
2004,SK,oat,402.6,1250000,1.01,1280000,36770297
2005,SK,oat,523,1425000,1.09,1546800,45692075
2006,SK,oat,488.8,1790000,0.97,1727300,52428205
2007,SK,oat,366,2350000,0.97,2317900,72238839
2008,SK,oat,327.1,1900000,1.17,2267100,72498661
2009,SK,oat,298.5,1180000,1.26,1465100,48042883
2010,SK,oat,642.5,740000,1.05,771100,25912420
2011,SK,oat,285.4,1265000,1.26,1582300,54458709
2012,SK,oat,510.2,1175000,1.13,1326300,46726059
2013,SK,oat,279.6,1585000,1.46,2328700,83934110
2014,SK,oat,364.9,1150000,1.34,1557600,57407345
2015,SK,oat,292.4,1375000,1.42,1927800,72618743
2016,SK,oat,345.1,1140000,1.46,1653300,63622587
2017,SK,oat,234.3,1420000,1.42,1989000,78158010
2018,SK,oat,207.7,1205700,1.4,1689100,67746553
2019,SK,oat,266.4,1493100,1.48,2215400,90656440
2020,SK,oat,297.4,1630000,1.41,2296400,95837899
2021,SK,oat,180.7,1383000,0.83,1152527,49036478
2022,SK,oat,208.7,1688000,1.52,2567136,
